Brand,Model,Storage,Colour,Operating System
Apple,iPhone 5s,16GB,spacegrau,iOS
Apple,iPhone SE 2 Dual SIM,256GB,rot,iOS
Apple,iPhone 8,128GB,gold,iOS
Apple,iPhone 5s,64GB,silber,iOS
Apple,iPhone 5,16GB,white silver,iOS
Apple,iPhone 5,32GB,schwarz graphit,iOS
Apple,iPhone 5, 8GB,white,iOS
Apple,iPhone 4s,64GB,schwarz,iOS
Apple,iPhone 5c,32GB,white,iOS
Apple,iPhone SE 2 Dual SIM,256GB,white,iOS
Apple,iPhone 5s,64GB,spacegrau,iOS
Apple,iPhone 4, 8GB,schwarz,iOS
Apple,iPhone 4s,16GB,schwarz,iOS
Apple,iPhone 6,32GB,gold,iOS
Apple,iPhone 4,32GB,schwarz,iOS
Apple,iPhone 5c,16GB,green,iOS
Apple,iPhone 5s,16GB,silber,iOS
Apple,iPhone 5s,16GB,gold,iOS
Apple,iPhone 5s,32GB,silber,iOS
Apple,iPhone 4s,32GB,schwarz,iOS
Apple,iPhone 5s,32GB,spacegrau,iOS
Apple,iPhone 5c,32GB,gelb,iOS
Apple,iPhone 5c,16GB,blau,iOS
Apple,iPhone 5c,32GB,pink,iOS
Apple,iPhone 4,16GB,schwarz,iOS
Apple,iPhone 5s,32GB,gold,iOS
Apple,iPhone 5c,16GB,gelb,iOS
Apple,iPhone 5,16GB,schwarz graphit,iOS
Apple,iPhone 5,32GB,white silver,iOS
Apple,iPhone 5c,16GB,white,iOS
Apple,iPhone 5, 8GB,pink,iOS
Apple,iPhone 5,64GB,schwarz graphit,iOS
Apple,iPhone 5s,64GB,gold,iOS
Apple,iPhone , 8GB,schwarz,iOS
Apple,iPhone 5c,32GB,blau,iOS
Apple,iPhone 4s,16GB,white,iOS
Apple,iPhone 5,64GB,white silver,iOS
Apple,iPhone 5c,16GB,pink,iOS
Apple,iPhone 5c,32GB,green,iOS
Apple,iPhone 5, 8GB,blau,iOS
Apple,iPhone 12 Pro Max,128GB,graphit,iOS
Apple,iPhone 12 Pro Max,512GB,silber,iOS
Apple,iPhone 12 Pro Max,512GB,graphit,iOS
Apple,iPhone 12 Pro Max,256GB,graphit,iOS
Apple,iPhone 12 Pro Max,256GB,silber,iOS
Apple,iPhone 12 Pro Max,128GB,silber,iOS
Apple,iPhone 12 Pro Max,512GB,pazifikblau,iOS
Apple,iPhone 12 Pro Max,256GB,pazifikblau,iOS
Apple,iPhone 12 Pro Max,256GB,gold,iOS
Apple,iPhone 12 Pro Max,128GB,gold,iOS
Apple,iPhone 12 Pro Max,128GB,pazifikblau,iOS
Apple,iPhone 12 Pro Max,512GB,gold,iOS
Apple,Lumia 1520 ,32GB,rot,iOS
Apple,Lumia 650 ,16GB,schwarz,iOS
Nokia,Lumia 950 XL Dual SIM ,32GB,schwarz,Windows
Microsoft,Lumia 650 Dual SIM ,16GB,schwarz,Windows
Microsoft,Lumia 930 ,32GB,orange,Windows
Microsoft,Lumia 950 XL ,32GB,schwarz,Windows
Nokia,Lumia 950 XL ,32GB,white,Windows
Microsoft,Lumia 925 ,32GB,schwarz,Windows
Microsoft,Lumia 1020 ,32GB,schwarz,Windows
Nokia,Lumia 1020 ,32GB,gelb,Windows
Nokia,Lumia 930 ,32GB,schwarz,Windows
Nokia,Lumia 640 LTE,8GB,schwarz,Windows
Nokia,Lumia 1520 ,32GB,schwarz,Windows
Microsoft,Lumia 1020 ,64GB,white,Windows
Nokia,Lumia 950 XL Dual SIM ,32GB,white,Windows
Nokia,Lumia 1020 ,32GB,white,Windows
Microsoft,Lumia 550,8GB,schwarz,Windows
Nokia,Lumia 640 XL Dual SIM,8GB,schwarz,Windows
Microsoft,Lumia 950 Dual SIM ,32GB,white,Windows
Microsoft,Lumia 920 ,32GB,grey,Windows
Microsoft,Lumia 950 ,32GB,schwarz,Windows
Nokia,Lumia 640 LTE Dual SIM,8GB,white,Windows
Microsoft,Lumia 930 ,32GB,green,Windows
Microsoft,Lumia 630,8GB,schwarz,Windows
Nokia,Lumia 650 ,16GB,white,Windows
Nokia,Lumia 1520 ,32GB,white,Windows
Microsoft,Lumia 830 ,16GB,schwarz,Windows
Nokia,Lumia 950 ,32GB,white,Windows
Nokia,Lumia 920 ,32GB,yellow,Windows
Microsoft,Lumia 650 Dual SIM ,16GB,white,Windows
Nokia,Lumia 830 ,16GB,orange,Windows
Microsoft,Lumia 830 ,16GB,white,Windows
Nokia,Lumia 930 ,32GB,white,Windows
Nokia,Lumia 1520 ,32GB,green,Windows
Nokia,,16GB,schwarz,Windows
Nokia,Lumia 1020 ,64GB,gelb,Windows
HTC,Lumia 730 Dual SIM,8GB,gray,Windows
Nokia,Lumia 735,8GB,orange,Windows
Nokia,Lumia 640 XL LTE Dual SIM,8GB,white,Windows
Nokia,Lumia 1320,8GB,white,Windows
Microsoft,Lumia 735,8GB,grey,Windows
Nokia,Lumia 640 LTE Dual SIM,8GB,schwarz,Windows
Nokia,Lumia 930 ,32GB,gold,Windows
Microsoft,Lumia 920 ,32GB,black,Windows
Nokia,Lumia 1320,8GB,schwarz,Windows
Nokia,Lumia 640 LTE,8GB,orange,Windows
Nokia,Lumia 535 Dual SIM,8GB,white,Windows
Microsoft,Lumia 640 XL LTE Dual SIM,8GB,schwarz,Windows
Microsoft,Lumia 540 Dual SIM,8GB,orange,Windows
Microsoft,Lumia 925 ,16GB,hellgrau,Windows
Microsoft,Lumia 640 XL,8GB,schwarz,Windows
Nokia,Lumia 625,8GB,schwarz,Windows
Microsoft,Lumia 535,8GB,white,Windows
Nokia,,8GB,schwarz,Windows
Microsoft,Lumia 635,8GB,schwarz,Windows
HTC,Lumia 710 ,8GB,schwarz,Windows
Nokia,Lumia 640 LTE,16GB,white,Windows
Nokia,,4GB,white,Windows
